id	title	description	link	image_link	price	availability	condition	brand	google_product_category	mpn	color	material	identifier_exists
GM-AQUA-1009	730 Carat Natural Aquamarine Rough Crystal, Unheated Icy Pastel Blue Pakistani Origin, Translucent Loose Gemstone for Faceting	Discover an extraordinary, museum-grade 730-carat natural aquamarine rough crystal of verified Pakistani origin. This massive collector-sized gemstone features a highly sought-after, completely natural icy pastel blue color that has not been subjected to any heat treatment or artificial enhancements.  Boasting excellent natural translucency, this loose crystal exhibits a beautiful crystalline structure that allows light to pass through gracefully, showcasing its soft, cooling blue hues. Its impressive 730-carat weight makes it a rare find for high-end gemstone collectors, lapidary artists looking for premium faceting rough, or investment-grade mineral displays.  Sourced directly from the world-renowned gem pegmatites of Pakistan, this raw aquamarine is an authentic specimen of Beryl. Whether kept in its natural, magnificent raw form for a high-end mineral collection or cut into custom fine jewelry pieces, its outstanding size and natural color profile offer immense value.	https://gemmines2.github.io/gemmines2-website/product/GM-AQUA-1009.html	https://gemmines2.github.io/gemmines2-website/images/GM-AQUA-1009.jpg	240.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	GM-AQUA-1009	Icy Pastel Blue	Pakistan Origin 730 ct — Unheated Untreated	false
sapphire-1780901637012	This Natural Unheated Sri Lankan origin Yellow sapphire weighs 0.52 carats and features a beautifully faceted cut with excellent lustre and Brillia...	This natural unheated Sri Lankan sapphire weighs 0.52 carats and features a beautifully faceted cut with good lustre and excellent brilliance. Displaying a rich Yellow colour and loupe clean clarity, this gemstone offers exceptional transparency and sparkle. Sourced from Sri Lanka, famous for producing premium sapphires, this untreated gemstone is ideal for fine jewellery, collectors, and gemstone enthusiasts seeking natural beauty and rarity	https://gemmines2.github.io/gemmines2-website/product/sapphire-1780901637012.html	https://gemmines2.github.io/gemmines2-website/images/this-natural-unheated-sri-lankan-or-1780901634847-0.jpg	100.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	sapphire-1780901637012	Yellow	Sri Lanka Origin 0.52 ct — Unheated Untreated	false
gm-zrcn-1034	Natural Rare Green Zircon 1.15 Carats | Sri Lanka Origin | Cut & Polished	Natural rare Green Zircon from Sri Lanka weighing 1.15 carats. This genuine loose gemstone has been expertly cut and polished to enhance its natural brilliance, sparkle, and attractive green color. Sourced from the renowned gem deposits of Sri Lanka, this zircon is valued for its rarity, exceptional clarity, and excellent luster. A beautiful choice for custom jewelry or gemstone collections, it offers timeless appeal and the quality expected from one of the world's finest gemstone origins. Suitable for rings, pendants, earrings,	https://gemmines2.github.io/gemmines2-website/product/gm-zrcn-1034.html	https://gemmines2.github.io/gemmines2-website/images/gm-zrcn-1034.jpeg	70.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	gm-zrcn-1034	Green	Sri Lanka Origin 1.15 ct — Unheated Untreated	false
amethys-1780829923587	Custom-Designed Stunning Silver Pendant for Sale this exclusive pendant is made from genuine 925 sterling silver and set with a natural Amethyst an...	Exclusive pendant made from genuine 925 sterling silver and set with a natural Amethyst and sparkling American diamonds.	https://gemmines2.github.io/gemmines2-website/product/amethys-1780829923587.html	https://gemmines2.github.io/gemmines2-website/images/-custom-designed-stunning-silver-pe-1780829918243-0.jpeg	150.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	amethys-1780829923587	Purple	Sri Lanka Origin 3 ct — Unheated Untreated	false
sapphire-1780764315884	Natural P Color change Sapphire Top eye clean Unheated Color: From Violet to Purple	Discover the beauty of this natural unheated Color Change Sapphire from Sri Lanka, weighing 1.54 carats. This rare gemstone displays a stunning color shift from violet to rich purple under different lighting conditions. Featuring top eye-clean clarity and excellent natural brilliance, this sapphire is perfect for collectors, custom jewelry, or gemstone enthusiasts seeking a unique and elegant treasure.	https://gemmines2.github.io/gemmines2-website/product/sapphire-1780764315884.html	https://gemmines2.github.io/gemmines2-website/images/natural-p-color-change-sapphire-top-1780765092779-0.jpg	150.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	sapphire-1780764315884	Purple	Sri Lanka Origin 1.54 ct — Unheated Untreated	false
chrysoberyl-1780742386216	Natural Chrysoberyl 1.35 ct - Loupe Clean, Certified Gemstone ( Sri Lankan )	Discover this exquisite natural chrysoberyl gemstone weighing 1.35 carats. Renowned for its exceptional hardness (8.5 on the Mohs scale) and brilliant luster, chrysoberyl is one of the most durable and sought-after gemstones, prized for its subtle honey-yellow to greenish hues and superior clarity.	https://gemmines2.github.io/gemmines2-website/product/chrysoberyl-1780742386216.html	https://gemmines2.github.io/gemmines2-website/images/natural-chrysoberyl-1-35-ct-loupe-c-1780742383560-0.jpeg	120.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	chrysoberyl-1780742386216	Yellowish Green	Sri Lanka Origin 1.35 ct — Unheated Untreated	false
zircon-1780665881053	Beautifully handcrafted exclusive pendant made from genuine 925 sterling silver and set with a natural zircon and sparkling American diamonds.	Beautifully handcrafted exclusive pendant made from genuine 925 sterling silver, featuring a natural zircon gemstone enhanced with sparkling American diamonds.	https://gemmines2.github.io/gemmines2-website/product/zircon-1780665881053.html	https://gemmines2.github.io/gemmines2-website/images/zircon-pendant-1780665878476-0.jpeg	95.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	zircon-1780665881053	Brownish	Sri Lanka Origin 3.999 ct — Unheated Untreated	false
spinel-1780499911496	Natural Sri Lankan ( Ceylon ) Blue Spinel 1 Carat | Loupe / Eye Clean Unheated Gemstone	Natural Sri Lankan Blue Spinel with pristine loupe clean clarity.	https://gemmines2.github.io/gemmines2-website/product/spinel-1780499911496.html	https://gemmines2.github.io/gemmines2-website/images/natural-sri-lankan-ceylon-blue-spin-1780499908961-0.jpg	125.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	spinel-1780499911496	Blue	Sri Lanka Origin 1 ct — Unheated Untreated	false
garnet-1780215589223	Natural Unheated Rhodolite Garnets 12.2 Carats	Natural Unheated Rhodolite Garnets from Tanzania. Mixed cuts including oval, cushion and rectangular shapes. Reddish pink color with excellent luster and loupe clean clarity.	https://gemmines2.github.io/gemmines2-website/product/garnet-1780215589223.html	https://gemmines2.github.io/gemmines2-website/images/rhodolite-garnets-1780215583524-0.jpg	200.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	garnet-1780215589223	Reddish Pink	Tanzania Origin 12.2 ct — Unheated Untreated	false
greenjasper_005	Natural Green Jasper Stones 10+ Carats	Opaque quality green jasper from Pakistan with beautiful lustre and color.	https://gemmines2.github.io/gemmines2-website/product/greenjasper_005.html	https://gemmines2.github.io/gemmines2-website/images/green-jasper.jpg	100.00 USD	in_stock	new	Gemmines2	Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Gemstones	greenjasper_005	Green	Pakistan Origin 10 ct — Unheated Untreated	false
